epoch,dice_coef,iou,loss,lr,val_dice_coef,val_iou,val_loss
0,0.47219735383987427,0.3143976628780365,0.5695722103118896,1e-04,0.4512158930301666,0.2936623692512512,0.6266388297080994
1,0.5685998797416687,0.4012070894241333,0.453411340713501,1e-04,0.543465793132782,0.377176970243454,0.5009436011314392
2,0.6004208922386169,0.4328055679798126,0.41852620244026184,1e-04,0.6147764325141907,0.44806739687919617,0.4033660888671875
3,0.6188840866088867,0.45277953147888184,0.40057551860809326,1e-04,0.627521276473999,0.4600580930709839,0.41190963983535767
4,0.6384065747261047,0.4737863838672638,0.37967202067375183,1e-04,0.6522464156150818,0.4869116246700287,0.36095234751701355
5,0.6712689399719238,0.5093173384666443,0.34391629695892334,1e-04,0.6944073438644409,0.5352194309234619,0.32249149680137634
6,0.6862223148345947,0.5276251435279846,0.3305923044681549,1e-04,0.6952698230743408,0.5358911752700806,0.32334256172180176
7,0.7053058743476868,0.5492667555809021,0.3103925585746765,1e-04,0.7272542715072632,0.5729629993438721,0.2905900180339813
8,0.7217147350311279,0.5701380968093872,0.29402026534080505,1e-04,0.7319337725639343,0.579413652420044,0.2838287353515625
9,0.7412757277488708,0.593464732170105,0.2762247323989868,1e-04,0.753584086894989,0.6077254414558411,0.26329970359802246
10,0.7600978016853333,0.6171022057533264,0.25424331426620483,1e-04,0.7393774390220642,0.5900893807411194,0.27853628993034363
11,0.7632966041564941,0.6228585243225098,0.2528241276741028,1e-04,0.7556647658348083,0.6100655198097229,0.26257190108299255
12,0.7809603214263916,0.6442034840583801,0.23480144143104553,1e-04,0.7850959897041321,0.6482951641082764,0.2331707924604416
13,0.8049294352531433,0.6766662001609802,0.2089974582195282,1e-04,0.7715011835098267,0.6322125792503357,0.24948805570602417
14,0.8081032633781433,0.6816309094429016,0.2081422358751297,1e-04,0.7788675427436829,0.6422854065895081,0.2459593266248703
15,0.8220524787902832,0.7013952136039734,0.19345861673355103,1e-04,0.8094896078109741,0.6841638088226318,0.2166518270969391
16,0.8343939781188965,0.7191226482391357,0.18055009841918945,1e-04,0.8313550353050232,0.7140920162200928,0.18726669251918793
17,0.8399396538734436,0.727958083152771,0.1747024655342102,1e-04,0.8120518326759338,0.6874622106552124,0.20867633819580078
18,0.8514847755432129,0.743736982345581,0.16292783617973328,1e-04,0.7950382828712463,0.6652425527572632,0.22781196236610413
19,0.8444229960441589,0.734437108039856,0.1736905425786972,1e-04,0.8081346154212952,0.6810293793678284,0.21965213119983673
20,0.8636729717254639,0.762654185295105,0.14965614676475525,3e-05,0.8396368622779846,0.7262306809425354,0.1802346110343933
21,0.8688201308250427,0.7710126638412476,0.14293953776359558,3e-05,0.8463278412818909,0.7357972860336304,0.17169032990932465
22,0.8791130185127258,0.7867164015769958,0.1313852071762085,3e-05,0.8490812182426453,0.7411065697669983,0.16998915374279022
23,0.8787097930908203,0.7862751483917236,0.13234029710292816,3e-05,0.8582450151443481,0.754055917263031,0.15847082436084747
24,0.8860733509063721,0.7979859709739685,0.12410742044448853,3e-05,0.8514358997344971,0.746554970741272,0.16910654306411743
25,0.8955727219581604,0.8127593398094177,0.11348935216665268,3e-05,0.8597139120101929,0.7566258907318115,0.15936243534088135
26,0.8948829174041748,0.8113548755645752,0.114249087870121,3e-05,0.857685923576355,0.7538312673568726,0.16014498472213745
27,0.8952267169952393,0.8124021887779236,0.11361456662416458,8.999999e-06,0.8515415787696838,0.7451323866844177,0.1690046340227127
28,0.8988850116729736,0.8183215856552124,0.1098412424325943,8.999999e-06,0.860206127166748,0.7574298977851868,0.16175724565982819
29,0.9014500975608826,0.822130560874939,0.10754644125699997,8.999999e-06,0.8654942512512207,0.7643516659736633,0.15362398326396942
